,Genres
0,acoustic
1,afrobeat
2,alt-rock
3,alternative
4,ambient
5,anime
6,black-metal
7,bluegrass
8,blues
9,brazil
10,breakbeat
11,british
12,cantopop
13,chicago-house
14,children
15,chill
16,classical
17,club
18,comedy
19,country
20,dance
21,dancehall
22,death-metal
23,deep-house
24,detroit-techno
25,disco
26,disney
27,drum-and-bass
28,dub
29,dubstep
30,edm
31,electro
32,electronic
33,emo
34,folk
35,forro
36,french
37,funk
38,garage
39,german
40,gospel
41,goth
42,grindcore
43,groove
44,grunge
45,guitar
46,happy
47,hard-rock
48,hardcore
49,hardstyle
50,heavy-metal
51,hip-hop
52,honky-tonk
53,house
54,idm
55,indian
56,indie-pop
57,indie
58,industrial
59,iranian
60,j-dance
61,j-idol
62,j-pop
63,j-rock
64,jazz
65,k-pop
66,kids
67,latin
68,latino
69,malay
70,mandopop
71,metal
72,metalcore
73,minimal-techno
74,mpb
75,new-age
76,opera
77,pagode
78,party
79,piano
80,pop-film
81,pop
82,power-pop
83,progressive-house
84,psych-rock
85,punk-rock
86,punk
87,r-n-b
88,reggae
89,reggaeton
90,rock-n-roll
91,rock
92,rockabilly
93,romance
94,sad
95,salsa
96,samba
97,sertanejo
98,show-tunes
99,singer-songwriter
100,ska
101,sleep
102,songwriter
103,soul
104,spanish
105,study
106,swedish
107,synth-pop
108,tango
109,techno
110,trance
111,trip-hop
112,turkish
113,world-music